abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
,,,,,,Ilya Sutskever and James Martens and George Dahl and Geoffrey Hinton,,,,,http://www.cs.toronto.edu/~fritz/absps/momentum.pdf,,,momentum,,,,,,,,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{On the importance of initialization and momentum in deep learning},,http://www.cs.toronto.edu/~fritz/absps/momentum.pdf,,,2014
,,,,,,Neal Parikh and Stephen Boyd,,,,,http://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf,,,prox,,,,,,,,,article,,,,,,,,,\textit{Foundations and Trends in Optimization},,,,,,,3,,,123-231,,,,,,,,,\textbf{Proximal Algorithms},,http://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf,,1,2014
,,,,,,Erin LeDell,,,,,http://www.stat.berkeley.edu/~ledell/R/h2oEnsemble.pdf,,,rensemble,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{R Ensemble Documentation},,http://www.stat.berkeley.edu/~ledell/R/h2oEnsemble.pdf,,,2014
,,,,,,"Bergstra, James and Bengio, Yoshua",,,,,http://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf,,,bergstra-bengio,,,,,,,,,article,,,,,,1532-4435,,3/1/2012,J. Mach. Learn. Res.,,,,,February,,,25,,281--305,,,,JMLR.org,,,,,\textbf{Random Search for Hyper-parameter Optimization},,http://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf,,13,2012
,,,,,,G.E. Hinton and R.R. Salakhutdinov,,,,,http://www.cs.toronto.edu/~hinton/science.pdf,,,neuralnet,,,,,,,,,article,,,,,,,,,\textit{Science},,,,,,,,,,504--507,,,,,,,,,\textbf{Reducing the Dimensionality of Data with Neural Networks},,http://www.cs.toronto.edu/~hinton/science.pdf,,313,2006
,,,,,,Rob Tibshirani,,,,,http://statweb.stanford.edu/~tibs/lasso/lasso.pdf,,,lasso,,,,,,,,,article,,,,,,,,,\textit{Journal of the Royal Statistical Society. Series B (Methodological)},,,,,,,1,,,267-288,,,,,,,,,\textbf{Regression Shrinkage and Selection via the Lasso},,http://statweb.stanford.edu/~tibs/lasso/lasso.pdf,,58,1996
,,,,,,Hui Zou and Trevor Hastie,,,,,,,,elastic,,,,,,,,,article,,,,,,,,,\textit{Journal of the Royal Statistical Society. Series B},,,,,,,,,,301--320,,,,,,,,,\textbf{Regularization and variable selection via the Elastic Net},,,,67,2005
,,,,,,Jerome Friedman and Trevor Hastie and Rob Tibshirani,,,,,http://core.ac.uk/download/pdf/6287975.pdf,,,glmnet,,,,,,,,,article,,,,,,,,,\textit{Journal of Statistical Software},,,,,,,1,,,,,,,,,,,,\textbf{Regularization Paths for Generalized Linear Models via Coordinate Descent},,http://core.ac.uk/download/pdf/6287975.pdf,,33,2009
,,,,,,"Cohen, Jacob",,,,,,,,cohen1988statistical,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{http://www.utstat.toronto.edu/~brunner/oldclass/378f16/readings/CohenPower.pdf},,,,,,,,Lawrence Erlbaum Associates,,,,,\textbf{Statistical {P}ower {A}nalysis for the {B}ehavioral {S}ciences},,,,,1988
,,,,,,"Cohen, Jacob",,,,,,,,cohen1988statistical,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://bit.ly/398IYLr},,,,,,,,Lawrence Erlbaum Associates,,,,,\textbf{Statistical {P}ower {A}nalysis for the {B}ehavioral {S}ciences},,,,,1988
